x,y,psi,v,cte,epsi,delta,a
6.6274,0.373342,0.124755,33.3007,-0.372302,-0.078695,0.0377246,0.680168
6.62529,0.483019,0.149311,33.3289,0.279305,-0.0424003,0.0390748,0.669254
6.63563,0.4067,0.144455,33.3497,0.819677,-0.0202249,0.0479714,0.661534
6.63913,0.421629,0.143002,33.3711,1.35219,0.0171902,0.0443184,0.652881
6.63321,0.517573,0.144916,33.3797,1.68196,0.0558582,0.0298199,0.648763
6.63839,0.478442,0.125116,33.3879,1.90894,0.0833072,0.0205069,0.645019
6.65086,0.322252,0.0951153,33.3957,1.89386,0.0715027,0.0225427,0.642042
6.6569,0.221737,0.0641431,33.4019,1.91498,0.0898533,0.0144806,0.639142
6.65663,0.243768,0.0493623,33.4046,1.80277,0.108924,-0.0010217,0.63771
6.66013,0.156633,0.0207672,33.4069,1.52391,0.112,-0.00941879,0.636829
6.66257,-0.0110537,-0.0100621,33.4084,1.20097,0.097918,-0.00621917,0.636147
6.66189,-0.1019,-0.0238798,33.4093,0.913613,0.0643445,-0.00217812,0.635733
6.66275,-0.067291,-0.0271115,33.411,0.602307,0.0738289,-0.0105203,0.635157
6.66295,-0.0235669,-0.0237329,33.4103,0.299732,0.0770638,-0.0150845,0.635566
6.66146,-0.11381,-0.0281669,33.4082,-0.0774708,0.0604956,-0.00362986,0.635424
6.66032,-0.163176,-0.0226182,33.4082,-0.35546,0.0456861,0.00902327,0.634033
6.66246,-0.039271,0.0102675,33.408,-0.598783,0.0449152,0.014751,0.633012
6.66146,0.0976111,0.0454587,33.4064,-0.718616,0.0477578,0.0201701,0.63269
6.65952,0.159539,0.0779933,33.403,-0.856498,-0.0108554,0.0359238,0.627955
6.65704,0.218097,0.111959,33.3997,-0.456356,0.0477373,0.0533823,0.624353
6.64626,0.38807,0.168495,33.3901,-0.153191,0.105587,0.0703514,0.624638
6.62763,0.575743,0.22295,33.3751,-0.00399856,0.126628,0.0826259,0.625904
6.60153,0.756948,0.28132,33.3508,0.348698,0.179991,0.0990016,0.63783
6.57758,0.886988,0.324263,33.3255,0.486356,0.176242,0.111504,0.647909
6.54073,1.05916,0.369705,33.2909,0.906797,0.212187,0.118734,0.667075
6.50773,1.18917,0.396864,33.2575,1.16448,0.214561,0.118281,0.684085
6.48335,1.26279,0.409518,33.2188,1.50755,0.215068,0.11572,0.69956
6.47955,1.25673,0.404562,33.1955,1.74978,0.205878,0.112722,0.712028
6.48119,1.22886,0.386025,33.1752,2.1495,0.218523,0.102547,0.722859
6.48524,1.19684,0.359779,33.1625,2.38229,0.217774,0.0868716,0.728962
6.50539,1.08998,0.317399,33.1562,2.60164,0.230932,0.0710766,0.732711
6.53148,0.924464,0.272124,33.1409,2.70265,0.231903,0.0629028,0.73961
6.5551,0.757404,0.220616,33.1363,2.62757,0.210661,0.0498451,0.742199
6.56763,0.671006,0.183545,33.1449,2.56823,0.220546,0.0346385,0.739039
6.5867,0.532711,0.139193,33.1669,2.21693,0.191032,0.0223524,0.730925
6.60655,0.371045,0.0945591,33.2011,1.95006,0.187474,0.0137307,0.717388
6.62003,0.239869,0.062402,33.2321,1.61333,0.174302,0.00994279,0.705064
6.63082,0.106877,0.0337538,33.2636,1.1893,0.16411,0.00923081,0.692447
6.63622,0.106997,0.0276536,33.2896,0.728204,0.142007,0.00431253,0.682435
6.64116,0.0994359,0.0255,33.312,0.247057,0.11283,0.00385479,0.673602
6.64555,0.0464932,0.0232695,33.3294,-0.0753799,0.0835087,0.0109131,0.666321
6.64959,0.0415931,0.0309623,33.3482,-0.341306,0.0459242,0.0178994,0.65841
6.65083,0.1178,0.0482986,33.3588,-0.39677,0.0428641,0.0190904,0.654116
6.65054,0.193259,0.0684494,33.3668,-0.389831,0.0370942,0.022665,0.650774
6.65124,0.206162,0.0806543,33.3721,-0.316661,0.0338233,0.0302983,0.648383
6.65066,0.244788,0.0979906,33.3763,-0.173846,0.0341063,0.0377543,0.646564
6.64684,0.327162,0.117242,33.3774,-0.0586887,0.0309076,0.0394458,0.646353
6.64138,0.40751,0.1349,33.3756,0.224043,0.0475896,0.0401856,0.647218
6.63973,0.425703,0.141502,33.374,0.491573,0.0623664,0.0424367,0.647879
6.63883,0.433643,0.146173,33.3725,0.709289,0.0718908,0.0448539,0.648577
6.63661,0.457847,0.14975,33.3708,0.871346,0.0817769,0.0436742,0.649398
6.63393,0.483805,0.151475,33.3682,0.992767,0.0874282,0.0407144,0.650748
6.63436,0.471051,0.146257,33.3653,1.11543,0.0954818,0.0386619,0.652024
6.63646,0.439159,0.136418,33.3634,1.20608,0.101845,0.0361051,0.652886
6.63851,0.4171,0.127372,33.3654,1.24304,0.111321,0.0325413,0.652102
6.64044,0.389564,0.115914,33.3656,1.20054,0.110522,0.027956,0.652206
6.64283,0.351161,0.104487,33.3652,1.13986,0.107291,0.0252089,0.652457
6.6464,0.301782,0.0904759,33.369,1.05346,0.103364,0.0222215,0.651034
6.6487,0.2722,0.0806083,33.373,0.947715,0.0978244,0.019249,0.649528
6.65041,0.239979,0.0700867,33.3743,0.811454,0.0902915,0.0161895,0.649108
6.6522,0.207918,0.0618268,33.3769,0.657225,0.0741829,0.014915,0.648179
6.65428,0.174917,0.0533626,33.3816,0.567224,0.0693497,0.0136324,0.64633
6.65507,0.161166,0.0488556,33.3835,0.486035,0.0654443,0.0123121,0.645621
6.65598,0.147326,0.0449555,33.386,0.391513,0.0610104,0.0114927,0.644634
6.65683,0.133074,0.0425805,33.3884,0.312098,0.0549173,0.0119635,0.643678
6.65758,0.124234,0.0418947,33.391,0.227227,0.0470569,0.0128863,0.642648
6.65784,0.129332,0.0433117,33.3928,0.18748,0.0434047,0.0131731,0.641972
6.65796,0.139316,0.0459843,33.3944,0.161054,0.039968,0.0136525,0.641342
6.65815,0.142424,0.047939,33.3957,0.155841,0.0371628,0.0147012,0.640847
6.65798,0.158949,0.0517764,33.3968,0.168763,0.0344529,0.0150248,0.640429
6.65814,0.158955,0.0532167,33.3976,0.199687,0.0335079,0.0161777,0.640132
6.6582,0.162458,0.0549641,33.3984,0.245926,0.0334608,0.0169945,0.639881
6.65793,0.174924,0.0573495,33.3988,0.265444,0.0302592,0.0168304,0.639769
6.65778,0.181981,0.0578695,33.3991,0.341819,0.0340892,0.0160724,0.639685
